# Real space h-h auto- and h-m cross-spectra.
# z=1.500, 13.000<lgM<13.500
#      k[h/Mpc]            P_hh            P_hm
    0.00000e+00     0.00000e+00     0.00000e+00
    5.79404e-03     8.01285e+04     2.06151e+04
    1.04717e-02     7.17234e+04     1.78572e+04
    1.42665e-02     6.70806e+04     1.85087e+04
    1.81228e-02     7.76130e+04     2.04147e+04
    2.24845e-02     7.57852e+04     2.03997e+04
    2.64508e-02     6.73313e+04     1.80373e+04
    3.04474e-02     7.20807e+04     1.92336e+04
    3.47320e-02     5.72494e+04     1.48317e+04
    3.88308e-02     5.02498e+04     1.26757e+04
    4.28140e-02     4.77872e+04     1.18408e+04
    4.68856e-02     4.47419e+04     1.08417e+04
    5.09858e-02     4.10970e+04     1.00439e+04
    5.51458e-02     4.13392e+04     9.86625e+03
    5.92243e-02     4.06857e+04     9.66486e+03
    6.32864e-02     3.93617e+04     9.19085e+03
    6.73674e-02     3.73559e+04     8.72347e+03
    7.14960e-02     3.41656e+04     7.76834e+03
    7.55894e-02     3.43639e+04     7.74984e+03
    7.96660e-02     3.14612e+04     6.94200e+03
    8.38183e-02     3.11658e+04     6.76163e+03
    8.78941e-02     2.74759e+04     5.80427e+03
    9.19238e-02     2.74476e+04     5.66085e+03
    9.60446e-02     2.51834e+04     5.06881e+03
    1.00128e-01     2.35648e+04     4.67175e+03
    1.04209e-01     2.32100e+04     4.55774e+03
    1.08333e-01     2.28926e+04     4.35533e+03
    1.12448e-01     2.22789e+04     4.18973e+03
    1.16521e-01     2.16329e+04     3.97029e+03
    1.20596e-01     2.10728e+04     3.88720e+03
    1.24665e-01     2.11203e+04     3.86072e+03
    1.28771e-01     2.07902e+04     3.69700e+03
    1.32874e-01     1.98996e+04     3.58048e+03
    1.36975e-01     2.00561e+04     3.50790e+03
    1.41075e-01     1.93110e+04     3.27470e+03
    1.45172e-01     1.88474e+04     3.15345e+03
    1.49268e-01     1.80726e+04     2.99444e+03
    1.53330e-01     1.77605e+04     2.82296e+03
    1.57416e-01     1.69332e+04     2.63309e+03
    1.61514e-01     1.68155e+04     2.55389e+03
    1.65592e-01     1.64074e+04     2.49472e+03
    1.69693e-01     1.59506e+04     2.35361e+03
    1.73803e-01     1.59508e+04     2.31895e+03
    1.77905e-01     1.55202e+04     2.21466e+03
    1.82001e-01     1.52928e+04     2.16549e+03
    1.86092e-01     1.51336e+04     2.10886e+03
    1.90161e-01     1.51232e+04     2.10919e+03
    1.94237e-01     1.47731e+04     1.99644e+03
    1.98334e-01     1.48121e+04     1.98033e+03
    2.02427e-01     1.45417e+04     1.90333e+03
    2.06523e-01     1.43602e+04     1.85204e+03
    2.10626e-01     1.39163e+04     1.77007e+03
    2.14724e-01     1.40768e+04     1.75245e+03
    2.18827e-01     1.37281e+04     1.68876e+03
    2.22903e-01     1.33961e+04     1.62667e+03
    2.26990e-01     1.32819e+04     1.58925e+03
    2.31084e-01     1.29342e+04     1.52432e+03
    2.35153e-01     1.28092e+04     1.46628e+03
    2.39244e-01     1.28372e+04     1.47145e+03
    2.43338e-01     1.28657e+04     1.44865e+03
    2.47445e-01     1.26057e+04     1.40400e+03
    2.51539e-01     1.25419e+04     1.37662e+03
    2.55609e-01     1.24409e+04     1.35482e+03
    2.59718e-01     1.24270e+04     1.32883e+03
    2.63814e-01     1.22503e+04     1.30344e+03
    2.67904e-01     1.20751e+04     1.25735e+03
    2.71993e-01     1.19886e+04     1.23265e+03
    2.76068e-01     1.18823e+04     1.21298e+03
    2.80171e-01     1.16897e+04     1.17285e+03
    2.84268e-01     1.16425e+04     1.14293e+03
    2.88346e-01     1.16235e+04     1.13270e+03
    2.92426e-01     1.15436e+04     1.10004e+03
    2.96514e-01     1.14551e+04     1.08514e+03
    3.00627e-01     1.14480e+04     1.07258e+03
    3.04729e-01     1.12381e+04     1.04369e+03
    3.08821e-01     1.12890e+04     1.04001e+03
    3.12919e-01     1.11173e+04     1.00402e+03
    3.16999e-01     1.10561e+04     9.95929e+02
    3.21078e-01     1.10257e+04     9.82744e+02
    3.25167e-01     1.10054e+04     9.64189e+02
    3.29247e-01     1.08646e+04     9.47367e+02
    3.33333e-01     1.08723e+04     9.37513e+02
    3.37443e-01     1.07069e+04     9.10689e+02
    3.41545e-01     1.07426e+04     9.01919e+02
    3.45625e-01     1.07183e+04     8.89643e+02
    3.49715e-01     1.06356e+04     8.75644e+02
    3.53817e-01     1.04444e+04     8.48641e+02
    3.57906e-01     1.04470e+04     8.37407e+02
    3.61975e-01     1.04058e+04     8.31409e+02
    3.66071e-01     1.03676e+04     8.16419e+02
    3.70189e-01     1.02646e+04     8.02867e+02
    3.74277e-01     1.02401e+04     7.86637e+02
    3.78356e-01     1.03218e+04     7.90830e+02
    3.82448e-01     1.00844e+04     7.66962e+02
    3.86535e-01     1.01020e+04     7.60023e+02
    3.90624e-01     1.00878e+04     7.52266e+02
    3.94706e-01     1.00180e+04     7.36638e+02
    3.98794e-01     1.00484e+04     7.34074e+02
    4.02896e-01     9.97511e+03     7.26537e+02
    4.06986e-01     9.90976e+03     7.06638e+02
    4.11069e-01     9.89723e+03     7.05440e+02
    4.15170e-01     9.85186e+03     6.96039e+02
    4.19263e-01     9.76236e+03     6.83988e+02
    4.23353e-01     9.79311e+03     6.76138e+02
    4.27447e-01     9.72626e+03     6.68419e+02
    4.31534e-01     9.67896e+03     6.57179e+02
    4.35624e-01     9.63239e+03     6.47808e+02
    4.39718e-01     9.60365e+03     6.40259e+02
    4.43804e-01     9.61982e+03     6.37378e+02
    4.47892e-01     9.56475e+03     6.24293e+02
    4.51977e-01     9.49093e+03     6.21189e+02
    4.56067e-01     9.53056e+03     6.11735e+02
    4.60165e-01     9.46689e+03     6.10705e+02
    4.64260e-01     9.46296e+03     6.01294e+02
    4.68355e-01     9.42797e+03     5.95288e+02
    4.72450e-01     9.35356e+03     5.86341e+02
    4.76540e-01     9.31187e+03     5.78316e+02
    4.80633e-01     9.28157e+03     5.69816e+02
    4.84718e-01     9.27578e+03     5.65144e+02
    4.88794e-01     9.30027e+03     5.61025e+02
    4.92888e-01     9.21935e+03     5.56449e+02
    4.96984e-01     9.21756e+03     5.50764e+02
    5.01073e-01     9.19677e+03     5.48840e+02
    5.05169e-01     9.11149e+03     5.37792e+02
    5.09268e-01     9.11928e+03     5.36836e+02
    5.13369e-01     9.08680e+03     5.27903e+02
    5.17441e-01     9.08155e+03     5.25735e+02
    5.21516e-01     9.03702e+03     5.23595e+02
    5.25611e-01     9.10788e+03     5.15723e+02
    5.29706e-01     9.01637e+03     5.12324e+02
    5.33801e-01     8.96827e+03     5.05910e+02
    5.37888e-01     8.93997e+03     5.01414e+02
    5.41985e-01     8.89742e+03     4.92121e+02
    5.46091e-01     8.86601e+03     4.87284e+02
    5.50174e-01     8.89886e+03     4.88674e+02
    5.54252e-01     8.85812e+03     4.85957e+02
    5.58346e-01     8.76602e+03     4.74496e+02
    5.62439e-01     8.83336e+03     4.73920e+02
    5.66527e-01     8.78739e+03     4.68674e+02
    5.70616e-01     8.72896e+03     4.62372e+02
    5.74707e-01     8.77904e+03     4.63728e+02
    5.78798e-01     8.75989e+03     4.57913e+02
    5.82883e-01     8.77637e+03     4.57238e+02
    5.86977e-01     8.67926e+03     4.50136e+02
    5.91070e-01     8.71073e+03     4.43820e+02
    5.95166e-01     8.67083e+03     4.44621e+02
    5.99260e-01     8.68543e+03     4.41202e+02
    6.03349e-01     8.63910e+03     4.34436e+02
    6.07445e-01     8.63430e+03     4.33282e+02
    6.11543e-01     8.61905e+03     4.32188e+02
    6.15623e-01     8.57075e+03     4.25527e+02
    6.19704e-01     8.53126e+03     4.20365e+02
    6.23792e-01     8.51831e+03     4.19839e+02
    6.27891e-01     8.51169e+03     4.16706e+02
    6.31991e-01     8.50596e+03     4.11705e+02
    6.36073e-01     8.48922e+03     4.09044e+02
    6.40158e-01     8.48845e+03     4.09551e+02
    6.44244e-01     8.45330e+03     4.06495e+02
    6.48338e-01     8.46571e+03     4.03580e+02
    6.52432e-01     8.41472e+03     3.97785e+02
    6.56514e-01     8.41714e+03     3.98407e+02
    6.60609e-01     8.38791e+03     3.92768e+02
    6.64712e-01     8.39562e+03     3.93965e+02
    6.68801e-01     8.33788e+03     3.87298e+02
    6.72890e-01     8.31761e+03     3.83358e+02
    6.76984e-01     8.34379e+03     3.83205e+02
    6.81074e-01     8.30463e+03     3.78208e+02
    6.85160e-01     8.36144e+03     3.79081e+02
    6.89246e-01     8.29732e+03     3.76051e+02
    6.93336e-01     8.24867e+03     3.71489e+02
    6.97434e-01     8.27132e+03     3.72511e+02
    7.01528e-01     8.23652e+03     3.68078e+02
    7.05618e-01     8.22569e+03     3.65201e+02
    7.09708e-01     8.23116e+03     3.63831e+02
    7.13796e-01     8.19299e+03     3.60963e+02
    7.17892e-01     8.18245e+03     3.58520e+02
    7.21982e-01     8.15407e+03     3.55468e+02
    7.26059e-01     8.17859e+03     3.55396e+02
    7.30145e-01     8.13648e+03     3.50377e+02
    7.34240e-01     8.13288e+03     3.50223e+02
    7.38340e-01     8.12193e+03     3.49785e+02
    7.42427e-01     8.11415e+03     3.45464e+02
    7.46511e-01     8.07873e+03     3.43110e+02
    7.50614e-01     8.04118e+03     3.39537e+02
    7.54706e-01     8.06367e+03     3.40879e+02
    7.58795e-01     8.03055e+03     3.36831e+02
    7.62888e-01     8.01869e+03     3.34023e+02
    7.66986e-01     8.03308e+03     3.33467e+02
    7.71073e-01     8.01616e+03     3.31901e+02
    7.75153e-01     7.97355e+03     3.27841e+02
    7.79241e-01     7.98994e+03     3.28167e+02
